"epiunitID","serotype","Longitude","Latitude","Date"
47413,"O",40.219332,38.011024,2007-03-12
19994,"O",41.39298,40.375904,2007-03-12
9926,"O",38.730749,40.872741,2007-03-13
23057,"O",34.646495,37.561772,2007-03-13
35783,"O",35.717235,39.392087,2007-03-13
28323,"O",33.865535,38.284408,2007-03-13
3146,"O",38.491183,37.565705,2007-03-14
27973,"O",27.261047,38.485143,2007-03-14
2362,"O",42.5622,40.196804,2007-03-14
28377,"O",33.455038,40.158544,2007-03-14
6695,"O",32.289424,40.677502,2007-03-15
23636,"O",33.772048,40.520493,2007-03-15
12951,"O",37.532274,40.96792,2007-03-15
25967,"O",39.461405,39.70907,2007-03-16
4139,"O",35.908011,38.836125,2007-03-16
20831,"O",38.730749,40.872741,2007-03-18
24128,"O",33.1092,39.017966,2007-03-18
14284,"O",29.591409,40.280319,2007-03-19
38814,"O",38.195494,40.746802,2007-03-19
47442,"O",43.172435,39.811917,2007-03-19
7547,"O",42.550815,37.617679,2007-03-19
18515,"O",39.090871,40.181826,2007-03-20
2082,"O",43.172435,39.811917,2007-03-20
43282,"O",34.468341,38.762159,2007-03-20
16563,"O",37.886814,40.919106,2007-03-20
47439,"O",43.172435,39.811917,2007-03-21
15651,"O",38.948143,37.124045,2007-03-22
30867,"O",37.275748,36.984877,2007-03-23
30633,"O",37.484474,40.78862,2007-03-23
4398,"O",33.730865,39.888632,2007-03-23
13232,"O",40.78369,38.26052,2007-03-24
3118,"A",30.250537,38.139634,2007-03-24
35215,"O",37.893164,38.004506,2007-03-24
48828,"O",42.550815,37.617679,2007-03-24
46231,"O",36.969573,39.689382,2007-03-25
30654,"A",34.504049,41.135078,2007-03-26
28248,"O",37.777923,40.820939,2007-03-26
8614,"O",33.023156,40.26714,2007-03-26
2447,"O",29.343769,38.649092,2007-03-26
47046,"O",30.177734,37.052451,2007-03-26
13616,"O",33.17993,37.13511,2007-03-26
5709,"O",36.495208,38.883603,2007-03-27
47562,"O",32.459875,38.377374,2007-03-27
30377,"O",30.177734,37.052451,2007-03-27
1519,"O",34.468341,38.762159,2007-03-29
1694,"O",26.759467,40.545958,2007-03-30
20521,"O",37.893164,38.004506,2007-03-30
16044,"O",35.897315,40.608305,2007-03-30
5806,"O",26.37142,39.586787,2007-04-01
10658,"O",34.447949,40.464284,2007-04-01
45213,"O",35.897315,40.608305,2007-04-01
14518,"A",38.128824,40.163659,2007-04-01
21842,"O",42.550815,37.617679,2007-04-01
6136,"O",27.811288,37.54116,2007-04-01
39664,"A",41.542486,38.848864,2007-04-02
19517,"O",33.772048,40.520493,2007-04-03
35105,"O",29.778093,38.222275,2007-04-03
35069,"O",41.295639,40.016936,2007-04-04
21870,"O",28.660218,38.93423,2007-04-04
37931,"O",35.74691,40.778094,2007-04-04
26270,"O",33.865535,38.284408,2007-04-04
27821,"O",33.865535,38.284408,2007-04-04
5598,"O",27.948734,37.860759,2007-04-05
38279,"O",33.549016,38.953691,2007-04-06
14703,"O",28.791919,37.996357,2007-04-06
13668,"O",34.496347,38.541768,2007-04-09
30280,"O",38.694339,37.799513,2007-04-10
45332,"O",36.281972,40.115206,2007-04-10
